id;user_id;user_name;email;phone_number;create_by;create_datetime;last_modified_by;last_modified_datetime
1;049a1fcf-0290-419c-bf24-b19f1eaa40b2;南路 index Senior;偉澤_宋@gmail.com;info-mediaries multi-byte;Lead AI;2023-10-22T16:26:36;programming;2023-10-22T20:20:07
2;60aa66cc-6f8d-48a5-a918-7ad8ef0e3a95;Frozen;鵬飛22@yahoo.com;e-services Compatible;primary Account;2023-10-22T23:00:56;deliver JBOD 福建省;2023-10-23T13:02:07
3;e12a6310-7005-49af-bffe-dc8041488c3d;optimize Intelligent 台灣省;正豪.何59@yahoo.com;bandwidth array;architecture strategize Ameliorated;2023-10-23T03:49:39;Fantastic Investor;2023-10-22T15:11:49
4;61f52494-d3f6-4faa-83dc-76ec7b63ffdd;compressing;擎宇12@gmail.com;Cambridgeshire;Loan Zambia Corporate;2023-10-23T03:39:58;Hungary Creative;2023-10-23T12:01:48
5;3bd1cd01-4b03-41d0-a405-57de5bf0d384;路 open-source;紹輝_鐘@gmail.com;Games;cohesive;2023-10-22T22:11:50;moratorium Brunei Clothing;2023-10-22T18:29:37
6;d4b1d934-372a-415f-9682-5436101cb510;quantify leading Congolese;修傑.週81@hotmail.com;transmitter Manager;next-generation transmitting;2023-10-23T13:11:09;virtual auxiliary hacking;2023-10-23T03:39:02
7;e18d3956-1781-4f3e-bde7-64fedd98ee75;robust;樂駒27@hotmail.com;application Dirham Brand;Handmade;2023-10-23T08:33:11;Tasty United payment;2023-10-23T10:57:38
8;3512f2e4-80f2-4baf-928d-a27a0b0a002e;Account specifically Music;凱瑞85@yahoo.com;Sleek quantifying 台灣省;open-source;2023-10-23T10:01:06;Profound panel;2023-10-23T05:26:23
9;8128d966-905a-4d60-ac7f-bab8c98f0ef3;Producer methodology;博文.毛@gmail.com;Bike;turquoise Tuna Rupee;2023-10-22T19:16:45;BEAC Bike;2023-10-22T18:56:25
10;7d84cd7e-0169-437a-87be-98f58db930ab;TCP Bedfordshire;鵬煊.白33@hotmail.com;Re-contextualized International hard;Table Avon Tasty;2023-10-22T23:07:46;programming aggregate reinvent;2023-10-23T13:02:44
